original_path	archived_path	artifact_type	size_bytes	sha256	git_status	reason
BIOINFORMATICS_WORKFLOW.md	archive_noncanonical/2026-08-17_pre_remediation/snapshot/BIOINFORMATICS_WORKFLOW.md	file	12626	6156f8e84014a13edf7e77bf69958aed2d8629848b754d4286c4146479400f37	tracked	pre-remediation noncanonical artifact; preserved for audit only
ORGANELLE_POPGEN_WORK_PLAN.md	archive_noncanonical/2026-08-17_pre_remediation/snapshot/ORGANELLE_POPGEN_WORK_PLAN.md	file	19847	c2034a2d25e05ebd5e9fbce9689fb0d5ba4ddeba3e4ee38fbb6953eafcf481dc	tracked	pre-remediation noncanonical artifact; preserved for audit only
README.md	archive_noncanonical/2026-08-17_pre_remediation/snapshot/README.md	file	18391	21c3ed0c3c9190ba6a4fdd168c650ec7384b4a90553cfeb23201442c75601b8a	tracked	pre-remediation noncanonical artifact; preserved for audit only
docs/superpowers/plans/2026-07-14-comprehensive-study-guide-quiz.md	archive_noncanonical/2026-08-17_pre_remediation/snapshot/docs/superpowers/plans/2026-07-14-comprehensive-study-guide-quiz.md	file	5373	6934041f76a479a1c0db7b93e33982d81da900451874f493133d5eaa7e25c58a	tracked	pre-remediation noncanonical artifact; preserved for audit only
docs/superpowers/plans/2026-07-14-haploid-haplotype-networks.md	archive_noncanonical/2026-08-17_pre_remediation/snapshot/docs/superpowers/plans/2026-07-14-haploid-haplotype-networks.md	file	17478	ec1dba03c72fc7fed1e6ac4c07557829f544195f55a6453215ca328ff9599878	tracked	pre-remediation noncanonical artifact; preserved for audit only
docs/superpowers/plans/2026-07-15-additive-r-visualizations.md	archive_noncanonical/2026-08-17_pre_remediation/snapshot/docs/superpowers/plans/2026-07-15-additive-r-visualizations.md	file	7029	d835241c8a9e933f67b8be7f61aeb976aa9fbada3e045a0ed9a202b7f922f770	tracked	pre-remediation noncanonical artifact; preserved for audit only
docs/superpowers/plans/2026-08-14-concatenated-organelle-bootstrap.md	archive_noncanonical/2026-08-17_pre_remediation/snapshot/docs/superpowers/plans/2026-08-14-concatenated-organelle-bootstrap.md	file	12135	72e26fe19f0625a7819716696df6508ec81e4fa5d531708714a9b56a86b9ffcf	tracked	pre-remediation noncanonical artifact; preserved for audit only
docs/superpowers/specs/2026-07-14-comprehensive-study-guide-quiz-design.md	archive_noncanonical/2026-08-17_pre_remediation/snapshot/docs/superpowers/specs/2026-07-14-comprehensive-study-guide-quiz-design.md	file	4273	ef9cd31374b7572e3c9706311fcc8cc9ed7c2b8424f8baeb516678e8457fa243	tracked	pre-remediation noncanonical artifact; preserved for audit only
docs/superpowers/specs/2026-07-14-haploid-haplotype-networks-design.md	archive_noncanonical/2026-08-17_pre_remediation/snapshot/docs/superpowers/specs/2026-07-14-haploid-haplotype-networks-design.md	file	8091	75a295a615f09f08bfd6fad71fe456e7ff6cfbe51231ed78b3eef5fd0528b5e2	tracked	pre-remediation noncanonical artifact; preserved for audit only
docs/superpowers/specs/2026-07-14-organelle-pipeline-study-guide-design.md	archive_noncanonical/2026-08-17_pre_remediation/snapshot/docs/superpowers/specs/2026-07-14-organelle-pipeline-study-guide-design.md	file	7522	3819cb4720fff8cb87cbbfada18d8276e8cbf198bcc52063e4ed804266f6af2e	tracked	pre-remediation noncanonical artifact; preserved for audit only
