sample_id	outcome	action
ABAB_MAD_LP_222_Du-589	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABAB_MAD_LP_223_Du-590	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABAB_MAD_LP_225_Du-592	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABAB_MAD_LP_322_Du-593	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABAB_MAD_LP_323_Du-594	suspected	with_and_without_sensitivity
ABAB_MAD_LP_324_Du-595	suspected	with_and_without_sensitivity
ABAB_MAD_LP_325_Du-596	suspected	with_and_without_sensitivity
ABAB_MAD_LP_326_Du-597	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABAB_MAD_LP_327_Du-598	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABBE_BERN_LP_311_Du-780	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABBE_BERN_LP_312_Du-781	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABBE_BERN_LP_313_Du-782	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABBE_BERN_LP_314_Du-783	suspected	with_and_without_sensitivity
ABMU_HOR_LP_306_Du-775	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABMU_HOR_LP_308_Du-777	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABMU_HOR_LP_358_Du-770	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABMU_HOR_LP_359_Du-771	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABMU_HOR_LP_360_Du-772	unresolved	retain_with_limitation_no_replication_or_clonality_claim
ABMU_HOR_LP_361_Du-773	unresolved	retain_with_limitation_no_replication_or_clonality_claim
BAI_LP_105_Du-222	unresolved	retain_with_limitation_no_replication_or_clonality_claim
BAI_LP_106_Du-223	unresolved	retain_with_limitation_no_replication_or_clonality_claim
BAI_LP_108_Du-225	unresolved	retain_with_limitation_no_replication_or_clonality_claim
BAI_LP_109_Du-226	unresolved	retain_with_limitation_no_replication_or_clonality_claim
BAI_LP_110_Du-227	suspected	with_and_without_sensitivity
BAI_LP_111_Du-228	suspected	with_and_without_sensitivity
BAI_LP_112_Du-230	unresolved	retain_with_limitation_no_replication_or_clonality_claim
BAI_LP_113_Du-231	unresolved	retain_with_limitation_no_replication_or_clonality_claim
BAI_LP_114_Du-232	unresolved	retain_with_limitation_no_replication_or_clonality_claim
BAI_LP_319_Du-233	unresolved	retain_with_limitation_no_replication_or_clonality_claim
COM_LP_269_Du-703	unresolved	retain_with_limitation_no_replication_or_clonality_claim
COM_LP_270_Du-704	unresolved	retain_with_limitation_no_replication_or_clonality_claim
COM_LP_272_Du-707	unresolved	retain_with_limitation_no_replication_or_clonality_claim
COM_LP_274_Du-709	unresolved	retain_with_limitation_no_replication_or_clonality_claim
COM_LP_276_Du-711	unresolved	retain_with_limitation_no_replication_or_clonality_claim
COM_LP_277_Du-712	unresolved	retain_with_limitation_no_replication_or_clonality_claim
COM_LP_341_Du-713	unresolved	retain_with_limitation_no_replication_or_clonality_claim
COM_LP_342_Du-714	unresolved	retain_with_limitation_no_replication_or_clonality_claim
COM_LP_343_Du-715	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROB_LP_169_Du-381	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROB_LP_170_Du-382	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROB_LP_172_Du-384	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROB_LP_173_Du-385	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROB_LP_174_Du-386	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROB_LP_175_Du-387	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROB_LP_176_Du-388	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROB_LP_177_Du-389	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROB_LP_320_Du-395	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROB_LP_321_Du-396	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROS_LP_085_Du-181	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROS_LP_086_Du-182	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROS_LP_087_Du-183	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROS_LP_088_Du-184	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROS_LP_089_Du-185	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROS_LP_090_Du-186	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROS_LP_091_Du-187	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROS_LP_092_Du-188	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROS_LP_093_Du-189	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CROS_LP_094_Du-190	unresolved	retain_with_limitation_no_replication_or_clonality_claim
CY_ALA_LP_298-Du-767	unresolved	retain_with_limitation_no_replication_or_clonality_claim
