organelle	check	status	evidence	interpretation
chloroplast	single_contig	PASS	ptg000216l_1 length 176964 bp	reference-verification input FASTA has one record.
chloroplast	ambiguous_bases	PASS	N=0; non_ACGT=0	No ambiguous bases expected for a clean organelle candidate.
mitochondria	single_contig	PASS	ptg000317l_1 length 243359 bp	reference-verification input FASTA has one record.
mitochondria	ambiguous_bases	PASS	N=0; non_ACGT=0	No ambiguous bases expected for a clean organelle candidate.
chloroplast	whole_genome_reference_identity	PASS	top cp ref gb|PX244389.1| qcov=100.00% identity=99.565%	Strong whole-plastome support from reference-verification cached complete Dudleya chloroplast references.
chloroplast	cross_organelle_mito_signal	PASS	top mito ref gb|PV256627.1| qcov=18.92% identity=92.695%	Cross-organelle signal is much weaker than chloroplast reference signal.
mitochondria	whole_genome_reference_identity	PASS	top mito ref gb|PV256627.1| qcov=70.99% identity=97.69%	Strong family-level Crassulaceae mitochondrial support from reference-verification cached references.
mitochondria	cross_organelle_chloroplast_signal	PASS	top cp ref gb|OQ076651.1| qcov=1.24% identity=77.676%	Very small chloroplast signal; argues against mislabeled plastome.
chloroplast	terminal_direct_duplicate	WARN	terminal duplicate approx 26690 bp, suffix starts 150275	Raw chloroplast sequence appears terminal-redundant; final cp coordinate system should be deduplicated/rotated before curated submission.
chloroplast	inverted_repeat	PASS	IR length=25742 bp; LSC=82090 bp; SSC=16712 bp	Large IR supports canonical chloroplast architecture.
mitochondria	read_backed_structure	WARN	No read-backed alignment/graph file is part of reference-verification package.	Mitochondrial repeat structure and molecule configuration remain FASTA-only calls.
